Sector,Hub,Hub_net_pts,Connectedness_%,p_value,Significant
Technology,MSFT,9.8,54.0,0.0267,yes
Financials,BAC,4.0,51.0,0.29,no
Energy,COP,8.2,53.0,0.2033,no
Health Care,UNH,10.9,54.0,0.0533,no
Industrials,HON,22.8,58.0,0.0133,yes
Consumer Disc.,HD,5.4,53.0,0.4,no
Consumer Staples,PG,7.0,52.0,0.2333,no
Utilities,DUK,6.8,54.0,0.2033,no
Materials,LIN,24.6,58.0,0.0067,yes
Real Estate,PLD,21.3,57.0,0.0467,yes
Communication Svcs,NFLX,13.5,56.0,0.02,yes
