ticker,model,QLIKE,RMSE,Corr
MU,Persistence,0.0796712696714458,0.10185315186569796,0.801326079660922
MU,EGARCH,0.07437239376830217,0.1069618848462649,0.7068018420776794
MU,HAR-RV,0.09033953473447269,0.1132886433414743,0.760601036060031
MU,XGBoost,0.17451484564257558,0.16732852247271326,0.4087302750934641
MU,RandomForest,0.18634992911841866,0.1758745194169623,0.29036752630454604
MU,StackingEnsemble,0.07809136712882374,0.12202151533506002,-0.21763875883435668
NVDA,Persistence,0.12825475352238488,0.08350042246424041,0.13239076226468668
NVDA,EGARCH,0.3248662592632922,0.1869032588737133,-0.4176376333925854
NVDA,HAR-RV,0.14047804198302546,0.10427374896494977,0.20362199689805943
NVDA,XGBoost,0.30000438121874323,0.18122345698681727,0.13853582297040867
NVDA,RandomForest,0.25005737005876927,0.15647627613833773,-0.08274965187485568
NVDA,StackingEnsemble,0.02383559476978623,0.0394284361991582,0.7910443492360455
AMD,Persistence,0.61875949097053,0.274628209824635,-0.09744608699455605
AMD,EGARCH,0.24310735515831997,0.19494835302739455,-0.21026373840332635
AMD,HAR-RV,0.3965600162370283,0.2274718628618046,-0.0515900437773024
AMD,XGBoost,0.37562034680967943,0.217041546392906,0.04657137903984736
AMD,RandomForest,0.40607675289449796,0.22599350560420983,-0.2731459137468462
AMD,StackingEnsemble,0.17439303802552675,0.17551393641336796,
JPM,Persistence,0.10954432048005897,0.046420836966756474,0.5002746479669931
JPM,EGARCH,0.12629566700682046,0.059627720580669535,0.2883566044848991
JPM,HAR-RV,0.08264799231212785,0.043877985997181734,0.4039517470630724
JPM,XGBoost,0.1525464887350946,0.07027645124159622,0.28063092550727464
JPM,RandomForest,0.13356986854248262,0.06399362504278495,0.21695086784191758
JPM,StackingEnsemble,0.2665502096249259,0.07077101331614828,-0.49011971173142077
BAC,Persistence,0.2721652070814641,0.06827224012578126,-0.06655990291608962
BAC,EGARCH,0.2264587689702454,0.08741986666145851,-0.2619531509500833
BAC,HAR-RV,0.14073965194106058,0.06120398951777224,0.0251716373678941
BAC,XGBoost,0.19350079816630927,0.08360269175171872,0.41100360103350925
BAC,RandomForest,0.1926411054082031,0.08161623707796052,0.3738845464556954
BAC,StackingEnsemble,0.03211203274586057,0.0269441623743505,0.8847181965446224
XOM,Persistence,0.1359351540553117,0.05615329339318376,0.427760989524878
XOM,EGARCH,0.09636341744907517,0.0532403130933899,0.4460531619875955
XOM,HAR-RV,0.09818241698415313,0.05174353067203342,0.4181673311435841
XOM,XGBoost,0.0860440686525,0.046920951272424696,0.5732585480378675
XOM,RandomForest,0.09059784527338399,0.046684573493944004,0.5607262225749271
XOM,StackingEnsemble,0.21377893911826645,0.07165698352116893,0.5628979485276593
CVX,Persistence,0.18767942534518187,0.06316803250996127,-0.057075167156533074
CVX,EGARCH,0.1472626997144985,0.06598572958292775,-0.09244375568254508
CVX,HAR-RV,0.12903575246400928,0.05667953670105247,-0.05666267028733372
CVX,XGBoost,0.11562424593225888,0.05960753641795758,0.38942671917258376
CVX,RandomForest,0.10415004714418473,0.05436709965379475,0.39085773526937106
CVX,StackingEnsemble,0.1772078409670859,0.061963403826314836,0.2914648920473741
AAPL,Persistence,0.49888122096040677,0.08884883224968286,-0.05327320980115905
AAPL,EGARCH,0.24666914842748972,0.08899746828425896,-0.12156490371738034
AAPL,HAR-RV,0.2720335864521454,0.07973197983556518,-0.029226355324551055
AAPL,XGBoost,0.16579383416717555,0.07355394850678244,0.24093546653557363
AAPL,RandomForest,0.16298565150891386,0.06909248118093474,0.27398588413916214
AAPL,StackingEnsemble,0.05056176971560707,0.03199057897204935,0.8945809188770428
MSFT,Persistence,0.6872072418881385,0.13047321418661376,0.08084123593335381
MSFT,EGARCH,0.3527202830265982,0.10357571465001385,0.1161204837126697
MSFT,HAR-RV,0.451670762211353,0.11348946718632938,0.1163233897812221
MSFT,XGBoost,0.4599142379515498,0.11871255063588669,0.023657276307308874
MSFT,RandomForest,0.4558162077657336,0.11904264477056045,0.07287114184430005
MSFT,StackingEnsemble,1.373437939625797,0.15406153951415524,-0.5891193674811569
AMZN,Persistence,0.3875396459339485,0.12742234125964572,-0.41294001754562726
AMZN,EGARCH,0.22194265304268426,0.11872726366551642,-0.09025902583700925
AMZN,HAR-RV,0.24788854932822885,0.11105012680192256,-0.3829450148111553
AMZN,XGBoost,0.2503354781454754,0.12780761639022947,-0.11769227299691291
AMZN,RandomForest,0.19242505619734912,0.10121311106540275,-0.13396451058295758
AMZN,StackingEnsemble,0.030940666807410096,0.037898721339758454,0.7793857488535688
